#	cg	v2x	uav
O-LoadBalancing    17.5	16.3	16.0
O-Latency   7.3	16.1	16.0
O-Hybrid   14.1	16.3	16.0
EAR-Heuristic    4.9	3.0	0.0
H-Hybrid   14.0	16.3	16.0
