#	cg	v2x	uav
O-LoadBalancing    16.4	16.4	17.1
O-Latency   6.6	16.1	17.1
O-Hybrid   12.8	16.4	17.1
EAR-Heuristic    3.5	3.5	0.0
H-Hybrid   11.6	16.4	17.1
