strategy,objective,experiment,iteration,edge_relocation_cg,search_successful_cg,search_failed_cg,search_skipped_cg,edge_relocation_v2x,search_successful_v2x,search_failed_v2x,search_skipped_v2x,edge_relocation_uav,search_successful_uav,search_failed_uav,search_skipped_uav
optimal,lb,1,1,13,18,0,0,11,16,0,0,6,16,0,0
optimal,lb,1,2,15,16,0,0,8,15,0,0,7,19,0,0
optimal,lb,1,3,16,17,1,0,18,22,0,0,4,10,0,0
optimal,lb,1,4,15,15,1,0,9,9,0,0,6,25,0,0
optimal,lb,1,5,11,15,0,0,15,18,0,0,6,17,0,0
,,,,,,,,,,,,,,,
optimal,latency,2,1,5,16,2,0,7,16,0,0,12,16,0,0
optimal,latency,2,2,0,13,3,0,2,14,1,0,8,19,0,0
optimal,latency,2,3,1,7,11,0,8,22,0,0,1,10,0,0
optimal,latency,2,4,2,6,10,0,5,9,0,0,11,25,0,0
optimal,latency,2,5,2,5,10,0,6,17,1,0,8,17,0,0
,,,,,,,,,,,,,,,
optimal,hybrid,3,1,7,16,2,0,15,16,0,0,12,16,0,0
optimal,hybrid,3,2,10,14,2,0,15,15,0,0,16,19,0,0
optimal,hybrid,3,3,11,16,2,0,20,22,0,0,9,10,0,0
optimal,hybrid,3,4,7,13,3,0,9,9,0,0,23,25,0,0
optimal,hybrid,3,5,4,9,6,0,14,17,1,0,16,17,0,0
,,,,,,,,,,,,,,,
heuristic,hybrid_if,4,1,0,0,3,15,2,2,0,14,0,0,0,16
heuristic,hybrid_if,4,2,2,2,2,12,2,2,0,13,0,0,0,19
heuristic,hybrid_if,4,3,7,7,3,8,7,7,0,15,0,0,0,10
heuristic,hybrid_if,4,4,6,6,1,9,2,2,0,7,0,0,0,25
heuristic,hybrid_if,4,5,7,7,1,7,5,5,0,13,0,0,0,17
,,,,,,,,,,,,,,,
heuristic,hybrid,5,1,9,17,1,0,15,16,0,0,10,16,0,0
heuristic,hybrid,5,2,9,16,0,0,13,15,0,0,19,19,0,0
heuristic,hybrid,5,3,8,13,5,0,21,22,0,0,8,10,0,0
heuristic,hybrid,5,4,5,12,4,0,8,9,0,0,20,25,0,0
heuristic,hybrid,5,5,2,8,7,0,17,18,0,0,16,17,0,0
