#	cg	v2x	uav conf    x
O-LoadBalancing    16.8	13.8	4.6 1.022   18
O-Latency   2.2	6.6	6.4 2.312   19
O-Hybrid   8.8	14.2	12.4    3.165   20
EAR-Heuristic    3.4	3.8	0.0 2.312   21
H-Hybrid   7.4	16.0	13.2    3.016   22
