#	cg	v2x	uav conf    x
O-LoadBalancing    14.2	12.2	6.4 1.700   24
O-Latency   1.2	7.6	5.4 5.527   25
O-Hybrid   7.6	14.0	15.4    2.933   26
EAR-Heuristic    4.8	3.8	0.2 3.106   27
H-Hybrid   7.2	13.6	16.4    1.872   28
