#	cg	v2x	uav conf    x
O-lb    15.2	14.0	6.0 1.402   12
O-lat   1.6	5.6	6.4 3.354   13
O-hyb   10.2	13.8	15.8    1.788   14
H-hyb-if    5.2	2.8	0.0 1.240   15
H-hyb   10.4	13.4	16.4    3.251   16
