#	cg	v2x	uav conf    x
O-LoadBalancing    12.4	15.6	6.2 3.204   6
O-Latency   1.2	8.6	6.8 2.044   7
O-Hybrid   7.6	18.0	16.0    0.429   8
EAR-Heuristic    4.2	5.6	0.0 1.508   9
H-Hybrid   7.6	17.6	15.2    2.635   10
