#	cg	v2x	uav conf    x
O-LoadBalancing    30.5	27.0	11.0    2.661   18
O-Latency   4.0	12.3	14.5    4.488   19
O-Hybrid   15.3	27.8	29.3    4.407   20
EAR-Heuristic    7.0	7.0	0.0 3.323   21
H-Hybrid   12.5	29.8	29.5    4.240   22
