#	cg	v2x	uav
O-LoadBalancing    14.2	17.8	18.0
O-Latency   9.8	17.2	18.0
O-Hybrid   12.4	17.8	18.0
EAR-Heuristic    4.8	2.4	0.6
H-Hybrid   12.4	17.8	18.0
