optimal,lb,1,1,31,41,43,45,53,40,41,47,44,35,58,38,43,48,38,35,31,62,39,49,25,51,46,50,44,51,50,38,48,44,32,23,35,44,47,33,41,61,37,36,41,36,41,34,33,46,41,61,49,35
optimal,lb,1,2,36,37,35,30,49,32,54,25,42,42,43,42,29,43,54,47,40,35,36,53,38,38,45,39,46,33,37,33,53,38,45,31,26,35,42,34,63,61,35,47,29,56,34,40,61,43,39,26,46,42
optimal,lb,1,3,36,38,51,36,21,43,31,29,37,44,53,37,38,46,47,35,38,31,28,33,35,36,46,35,38,38,42,41,29,36,31,43,50,39,33,49,39,42,36,27,32,35,42,42,32,36,46,51,40,35
optimal,lb,1,4,26,47,40,41,44,37,42,49,31,44,45,36,36,48,54,33,38,32,31,22,23,38,50,33,39,35,32,44,33,47,51,45,42,36,42,39,48,50,41,38,40,45,54,50,65,46,35,37,39,35
optimal,lb,1,5,46,41,40,33,41,52,43,31,57,43,59,47,44,37,27,47,46,29,35,32,55,34,33,45,52,42,42,32,48,46,38,44,36,36,42,47,32,43,52,33,53,34,40,41,43,45,35,45,37,31

optimal,latency,2,1,77,33,48,38,49,48,39,50,49,45,38,43,35,48,50,47,40,58,40,40,42,47,41,45,38,34,46,51,33,48,46,34,26,30,38,49,57,49,75,59,32,43,54,56,64,45,47,58,41,32
optimal,latency,2,2,59,80,90,21,32,41,44,42,32,46,43,50,33,52,39,35,41,34,46,21,36,50,47,43,30,49,37,47,36,70,30,39,39,54,24,40,20,33,39,33,42,40,49,50,41,31,43,36,31,35
optimal,latency,2,3,84,95,62,93,83,56,52,55,69,27,37,38,48,44,38,44,31,35,42,34,37,55,29,33,37,54,41,37,47,43,27,51,41,32,41,31,36,26,40,47,36,43,43,42,38,36,73,44,33,47
optimal,latency,2,4,74,88,77,47,35,37,55,52,30,40,40,54,33,46,41,48,46,42,44,44,36,50,38,46,45,31,56,36,41,51,37,36,40,29,36,46,36,44,34,33,37,39,34,48,53,39,32,43,57,37
optimal,latency,2,5,54,65,79,62,41,32,43,44,49,41,48,68,50,47,37,38,44,21,45,22,32,48,41,43,44,34,39,58,61,49,42,38,41,40,43,41,33,45,44,53,70,47,29,41,48,27,38,43,40,55

optimal,hybrid,3,1,33,26,35,47,42,49,32,58,50,42,54,38,43,51,41,40,48,42,42,26,49,25,40,34,45,42,46,52,28,50,31,49,52,32,34,52,45,41,53,30,31,35,50,35,58,42,36,40,40,40
optimal,hybrid,3,2,51,52,26,31,34,44,30,48,34,40,49,29,44,49,38,50,42,38,36,38,32,35,33,44,30,50,43,29,56,53,53,38,36,35,23,41,54,43,56,58,23,42,70,36,47,54,42,42,55,83
