strategy,objective,experiment,iteration,edge_relocation_cg,search_successful_cg,search_failed_cg,search_skipped_cg,edge_relocation_v2x,search_successful_v2x,search_failed_v2x,search_skipped_v2x,edge_relocation_uav,search_successful_uav,search_failed_uav,search_skipped_uav
optimal,lb,1,1,18,19,0,0,12,17,0,0,14,14,0,0
optimal,lb,1,2,15,15,0,0,20,23,0,0,8,12,0,0
optimal,lb,1,3,17,18,0,0,11,13,0,0,4,19,0,0
optimal,lb,1,4,12,13,0,0,12,13,0,0,10,24,0,0
optimal,lb,1,5,16,16,0,0,15,18,0,0,7,16,0,0
,,,,,,,,,,,,,,,
optimal,latency,2,1,2,11,8,0,8,17,0,0,11,14,0,0
optimal,latency,2,2,1,5,10,0,8,19,4,0,5,12,0,0
optimal,latency,2,3,0,6,12,0,1,13,0,0,6,19,0,0
optimal,latency,2,4,2,4,9,0,6,13,0,0,11,24,0,0
optimal,latency,2,5,1,7,9,0,4,17,1,0,6,16,0,0
,,,,,,,,,,,,,,,
optimal,hybrid,3,1,10,15,4,0,15,17,0,0,13,14,0,0
optimal,hybrid,3,2,8,13,2,0,18,23,0,0,12,12,0,0
optimal,hybrid,3,3,8,11,7,0,12,13,0,0,14,19,0,0
optimal,hybrid,3,4,7,9,4,0,13,13,0,0,18,24,0,0
optimal,hybrid,3,5,5,12,4,0,16,18,0,0,15,16,0,0
,,,,,,,,,,,,,,,
heuristic,hybrid_if,4,1,6,6,2,11,2,2,0,15,0,0,0,14
heuristic,hybrid_if,4,2,2,2,2,11,4,4,0,19,0,0,0,12
heuristic,hybrid_if,4,3,5,5,3,10,1,1,0,12,0,0,0,19
heuristic,hybrid_if,4,4,1,1,6,6,3,3,0,10,0,0,0,24
heuristic,hybrid_if,4,5,4,4,2,10,3,3,0,15,0,0,0,16
,,,,,,,,,,,,,,,
heuristic,hybrid,5,1,11,16,3,0,15,17,0,0,13,14,0,0
heuristic,hybrid,5,2,8,13,2,0,14,23,0,0,8,12,0,0
heuristic,hybrid,5,3,10,14,4,0,10,13,0,0,13,19,0,0
heuristic,hybrid,5,4,5,8,5,0,11,13,0,0,18,24,0,0
heuristic,hybrid,5,5,11,15,1,0,16,18,0,0,9,16,0,0
