#	local-zone  zone    international
O-LoadBalancing    63.33   52.98   76.7
O-Latency   73.67   53.14   21
O-Hybrid   72.21   51.96   32.6
EAR-Heuristic    68.49   58.62   30.3
H-Hybrid   70.28   52.66   40.8
