#	local-zone  zone    international
O-lb    64.5    51.1    76.7
O-lat   74.27   54.58   12.9
O-hyb   73.09   54.12   20.8
H-hyb-if    70.61   55.2    30.3
H-hyb   71.47   55.44   25
