strategy,objective,experiment,iteration,edge_relocation_cg,search_successful_cg,search_failed_cg,search_skipped_cg,edge_relocation_v2x,search_successful_v2x,search_failed_v2x,search_skipped_v2x,edge_relocation_uav,search_successful_uav,search_failed_uav,search_skipped_uav
optimal,lb,1,1,10,12,0,0,13,16,0,0,14,22,0,0
optimal,lb,1,2,16,16,0,0,13,16,0,0,7,18,0,0
optimal,lb,1,3,11,11,0,0,14,14,0,0,10,25,0,0
optimal,lb,1,4,18,19,0,0,13,17,0,0,6,14,0,0
optimal,lb,1,5,17,19,0,0,12,16,0,0,4,15,0,0
,,,,,,,,,,,,,,,
optimal,latency,2,1,4,7,5,0,7,15,1,0,12,22,0,0
optimal,latency,2,2,0,7,9,0,7,16,0,0,8,18,0,0
optimal,latency,2,3,0,6,5,0,4,14,0,0,5,25,0,0
optimal,latency,2,4,2,8,11,0,6,15,2,0,4,14,0,0
optimal,latency,2,5,3,13,6,0,11,16,0,0,3,15,0,0
,,,,,,,,,,,,,,,
optimal,hybrid,3,1,9,10,2,0,14,16,0,0,21,22,0,0
optimal,hybrid,3,2,10,12,4,0,14,16,0,0,17,18,0,0
optimal,hybrid,3,3,6,10,1,0,13,14,0,0,24,25,0,0
optimal,hybrid,3,4,12,18,1,0,13,17,0,0,14,14,0,0
optimal,hybrid,3,5,10,15,4,0,11,16,0,0,13,15,0,0
,,,,,,,,,,,,,,,
heuristic,hybrid_if,4,1,6,6,0,6,0,0,2,14,1,1,0,21
heuristic,hybrid_if,4,2,5,5,0,11,5,5,0,11,0,0,0,18
heuristic,hybrid_if,4,3,5,5,1,5,2,2,0,12,0,0,0,25
heuristic,hybrid_if,4,4,4,4,1,14,5,5,0,12,0,0,0,14
heuristic,hybrid_if,4,5,7,7,4,8,5,5,0,11,0,0,0,15
,,,,,,,,,,,,,,,
heuristic,hybrid,5,1,8,10,2,0,14,16,0,0,20,22,0,0
heuristic,hybrid,5,2,7,13,3,0,13,16,0,0,18,18,0,0
heuristic,hybrid,5,3,8,9,2,0,13,14,0,0,23,25,0,0
heuristic,hybrid,5,4,5,16,3,0,15,17,0,0,10,14,0,0
heuristic,hybrid,5,5,7,12,7,0,16,16,0,0,13,15,0,0
