#	cg	v2x	uav conf    x
O-LoadBalancing    14.3	13.4	6.0 1.659   24
O-Latency   1.3	6.6	5.4 3.823   25
O-Hybrid   6.8	14.8	15.0    1.960   26
EAR-Heuristic    5.8	4.1	0.1 2.815   27
H-Hybrid   7.0	15.1	14.6    1.285   28
