#	cg	v2x	uav conf    x
O-lb    15.9	14.3	5.3 1.426   12
O-lat   1.4	5.0	5.5 2.671   13
O-hyb   10.0	14.6	14.0    1.864   14
H-hyb-if    4.9	3.0	0.0 2.120   15
H-hyb   10.0	14.1	14.0    2.845   16
