#	cg	v2x	uav conf    x
O-LoadBalancing    13.1	14.3	7.4 3.094   6
O-Latency   0.9	7.0	6.8 2.323   7
O-Hybrid   7.9	16.8	15.8    1.426   8
EAR-Heuristic    3.4	4.6	0.0 1.898   9
H-Hybrid   7.9	15.4	15.1    3.117   10
