#	cg	v2x	uav conf    x
O-LoadBalancing    15.3	13.5	5.5 1.331   18
O-Latency   2.0	6.1	7.3 2.244   19
O-Hybrid   7.6	13.9	14.6    2.203   20
EAR-Heuristic    3.5	3.5	0.0 1.662   21
H-Hybrid   6.3	14.9	14.8    2.120   22
