#	cg	v2x	uav conf    x
O-LoadBalancing    12.6	14.6	9.8 2.522   0
O-Latency   2.8	6.8	10.1    2.244   1
O-Hybrid   8.0	16.0	15.3    2.129   2
EAR-Heuristic    4.0	2.5	0.4 1.488   3
H-Hybrid   8.0	15.8	14.9    1.958   4
