#	cg	v2x	uav conf    x
O-LoadBalancing    0.0	0.0	0.0 0.000   0
O-Latency   9.0	0.8	0.0 2.894   1
O-Hybrid   3.8	0.0	0.0 1.890   2
EAR-Heuristic    2.8	0.5	0.0 1.188   3
H-Hybrid   3.3	0.0	0.0 1.689   4
