#	cg	v2x	uav
O-lb    0.0	0.0	0.0
O-lat   4.5	0.4	0.0
O-hyb   1.9	0.0	0.0
H-hyb-if    1.4	0.3	0.0
H-hyb   1.6	0.0	0.0
