#	cg	v2x	uav
O-LoadBalancing    0.0	0.0	0.0
O-Latency   0.0	0.0	0.0
O-Hybrid   0.0	0.0	0.0
EAR-Heuristic    10.3	12.9	17.1
H-Hybrid   0.0	0.0	0.0
