strategy,objective,experiment,iteration,edge_relocation_cg,search_successful_cg,search_failed_cg,search_skipped_cg,edge_relocation_v2x,search_successful_v2x,search_failed_v2x,search_skipped_v2x,edge_relocation_uav,search_successful_uav,search_failed_uav,search_skipped_uav
optimal,lb,1,1,9,12,0,0,18,20,0,0,10,18,0,0
optimal,lb,1,2,10,11,0,0,15,18,0,0,4,21,0,0
optimal,lb,1,3,14,16,1,0,12,16,0,0,9,17,0,0
optimal,lb,1,4,14,16,0,0,17,24,0,0,3,10,0,0
optimal,lb,1,5,11,11,0,0,14,20,0,0,8,19,0,0
,,,,,,,,,,,,,,,
optimal,latency,2,1,3,10,2,0,6,20,0,0,10,18,0,0
optimal,latency,2,2,1,6,5,0,10,17,1,0,8,21,0,0
optimal,latency,2,3,2,6,11,0,7,16,0,0,9,17,0,0
optimal,latency,2,4,2,9,7,0,7,24,0,0,6,10,0,0
optimal,latency,2,5,0,1,10,0,6,20,0,0,5,19,0,0
,,,,,,,,,,,,,,,
optimal,hybrid,3,1,4,11,1,0,19,20,0,0,18,18,0,0
optimal,hybrid,3,2,5,11,0,0,17,18,0,0,20,21,0,0
optimal,hybrid,3,3,10,13,4,0,16,16,0,0,15,17,0,0
optimal,hybrid,3,4,5,14,2,0,18,24,0,0,9,10,0,0
optimal,hybrid,3,5,6,10,1,0,13,20,0,0,15,19,0,0
,,,,,,,,,,,,,,,
heuristic,hybrid_if,4,1,1,1,1,10,4,4,0,16,2,2,0,16
heuristic,hybrid_if,4,2,4,4,0,7,5,5,0,13,0,0,0,21
heuristic,hybrid_if,4,3,5,5,3,9,4,4,0,12,0,0,0,17
heuristic,hybrid_if,4,4,4,4,1,11,6,6,0,18,0,0,0,10
heuristic,hybrid_if,4,5,3,3,5,3,3,3,0,17,0,0,0,19
,,,,,,,,,,,,,,,
heuristic,hybrid,5,1,4,11,1,0,18,20,0,0,17,18,0,0
heuristic,hybrid,5,2,6,11,0,0,14,18,0,0,18,21,0,0
heuristic,hybrid,5,3,10,13,4,0,14,16,0,0,15,17,0,0
heuristic,hybrid,5,4,8,14,2,0,22,24,0,0,10,10,0,0
heuristic,hybrid,5,5,5,8,3,0,14,20,0,0,18,19,0,0
