#	local-zone  zone    international
O-LoadBalancing    60.76   59.6    78.2
O-Latency   71.64   58.66   23.3
O-Hybrid   72.02   54  36.7
EAR-Heuristic    70.76   52.58   48.2
H-Hybrid   72.54   55.78   28.1
