#	cg	v2x	uav conf    x
O-LoadBalancing    0.0	0.0	0.0 0.000   6
O-Latency   18.8	0.5	0.0 4.037   7
O-Hybrid   7.3	0.3	0.0 2.661   8
EAR-Heuristic    5.0	0.0	0.0 2.857   9
H-Hybrid   7.8	0.0	0.0 3.208   10
