#	local-zone  zone    international
O-LoadBalancing    53.94   49.68   75.6
O-Latency   66.94   49.52   9
O-Hybrid   66.94   45.58   21.9
EAR-Heuristic    62.75   45.94   42.4
H-Hybrid   60.19   53.92   29.2
