strategy,objective,experiment,iteration,edge_relocation_cg,search_successful_cg,search_failed_cg,search_skipped_cg,edge_relocation_v2x,search_successful_v2x,search_failed_v2x,search_skipped_v2x,edge_relocation_uav,search_successful_uav,search_failed_uav,search_skipped_uav
optimal,lb,1,1,11,13,0,0,16,17,0,0,8,20,0,0
optimal,lb,1,2,13,14,0,0,19,24,0,0,7,12,0,0
optimal,lb,1,3,17,18,0,0,15,17,0,0,6,15,0,0
optimal,lb,1,4,17,18,0,0,16,16,0,0,3,16,0,0
optimal,lb,1,5,21,23,0,0,10,14,0,0,5,13,0,0
,,,,,,,,,,,,,,,
optimal,latency,2,1,1,9,4,0,5,17,0,0,9,20,0,0
optimal,latency,2,2,0,6,8,0,7,22,2,0,6,12,0,0
optimal,latency,2,3,2,5,13,0,4,16,1,0,3,15,0,0
optimal,latency,2,4,1,5,13,0,7,16,0,0,7,16,0,0
optimal,latency,2,5,0,8,15,0,3,14,0,0,2,13,0,0
,,,,,,,,,,,,,,,
optimal,hybrid,3,1,6,12,1,0,15,17,0,0,17,20,0,0
optimal,hybrid,3,2,9,11,3,0,22,24,0,0,11,12,0,0
optimal,hybrid,3,3,13,14,4,0,14,17,0,0,12,15,0,0
optimal,hybrid,3,4,11,13,5,0,15,16,0,0,14,16,0,0
optimal,hybrid,3,5,12,20,3,0,13,14,0,0,11,13,0,0
,,,,,,,,,,,,,,,
heuristic,hybrid_if,4,1,4,4,1,8,4,4,0,13,0,0,0,20
heuristic,hybrid_if,4,2,6,6,0,8,6,6,0,18,0,0,0,12
heuristic,hybrid_if,4,3,4,4,4,10,4,4,0,13,0,0,0,15
heuristic,hybrid_if,4,4,1,1,8,9,3,3,0,13,0,0,0,16
heuristic,hybrid_if,4,5,7,7,6,10,0,0,0,14,0,0,0,13
,,,,,,,,,,,,,,,
heuristic,hybrid,5,1,4,12,1,0,15,17,0,0,17,20,0,0
heuristic,hybrid,5,2,10,13,1,0,24,24,0,0,11,12,0,0
heuristic,hybrid,5,3,12,15,3,0,13,17,0,0,15,15,0,0
heuristic,hybrid,5,4,7,8,10,0,15,16,0,0,15,16,0,0
heuristic,hybrid,5,5,12,20,3,0,9,14,0,0,13,13,0,0
