experiment,iteration,cluster,cpu_used,cpu_alloc,cpu_util,memory_used,memory_alloc,memory_util
1,3,mec3,3.0,8.0,38.1,2966250752.0,8242675712.0,36.0
1,3,mec4,4.9,8.0,61.0,4292699392.0,8242683904.0,52.1
1,3,mec5,5.4,8.0,67.1,4677526784.0,8242683904.0,56.7
1,3,mec6,4.6,8.0,57.1,4420625664.0,8242683904.0,53.6
1,3,mec7,3.3,8.0,41.6,3800917248.0,8242675712.0,46.1
1,3,mec1,9.2,12.0,76.7,9397167360.0,12457054208.0,75.4
1,4,mec12,2.4,4.0,60.0,1854760192.0,4022013952.0,46.1
1,4,mec13,2.2,4.0,56.0,1797088512.0,4022022144.0,44.7
1,4,mec14,2.3,4.0,56.8,1869440256.0,4022013952.0,46.5
1,4,mec11,2.3,4.0,56.5,1814914304.0,4022013952.0,45.1
1,4,mec16,2.9,4.0,71.2,2545771776.0,4022013952.0,63.3
1,4,mec17,2.3,4.0,56.5,1744659712.0,4022013952.0,43.4
1,4,mec18,2.9,4.0,72.5,2466080000.0,4022013952.0,61.3
1,4,mec15,3.0,4.0,75.5,2600297728.0,4022013952.0,64.7
1,4,mec20,3.0,4.0,76.2,2835178752.0,4022013952.0,70.5
1,4,mec21,1.6,4.0,38.8,1118659840.0,4022013952.0,27.8
1,4,mec22,2.4,4.0,60.2,2092786944.0,4022022144.0,52.0
1,4,mec19,3.0,4.0,75.5,2606589184.0,4022013952.0,64.8
1,4,mec24,2.7,4.0,67.8,2369611008.0,4022022144.0,58.9
1,4,mec25,2.8,4.0,70.5,2395825408.0,4022013952.0,59.6
1,4,mec26,2.4,4.0,60.2,1701668096.0,4022013952.0,42.3
1,4,mec23,3.1,4.0,77.8,2708301056.0,4022022144.0,67.3
1,4,mec3,3.2,8.0,39.8,2704106752.0,8242675712.0,32.8
1,4,mec4,3.4,8.0,42.8,2813158656.0,8242683904.0,34.1
1,4,mec5,4.3,8.0,54.0,3774702848.0,8242683904.0,45.8
1,4,mec6,5.3,8.0,66.4,4843201792.0,8242683904.0,58.8
1,4,mec7,4.2,8.0,52.5,4971128064.0,8242675712.0,60.3
1,4,mec1,9.2,12.0,76.7,9397167360.0,12457054208.0,75.4
1,5,mec12,2.4,4.0,60.0,1854760192.0,4022013952.0,46.1
