#	cg	v2x	uav	conf	x
Optimal	10.48	0.32	0.00	1.19	0
EAR-Heuristic	9.44	0.32	0.00	2.96	1
ML-NonMasked	27.84	21.04	10.64	1.26	2
ML-Masked	5.44	0.08	0.00	1.36	3
